mode,seed,steps,status,final_accuracy,final_loss,max_raw_gain,max_applied_gain,mean_applied_gain,std_applied_gain,min_scale,mean_scale,floor_hits,runtime_seconds,device,hostname,commit_sha,error_type,error_message,run_dir
hc,0,15000,completed,0.078125,4.626795291900635,62.88275146484375,62.88275146484375,18.735867419550495,17.40712231522967,1.0,1.0,0,16664.944850307074,cuda:0 NVIDIA GB10,dgx,f6bdf6155b2b683c4193c698db2f70f7db849918,,,runs/pub15k_hc_seed0
hc,1,15000,completed,0.125,4.279788494110107,3764.66455078125,3764.66455078125,1049.2845445448352,1104.8218760841703,1.0,1.0,0,15210.809040424996,cuda:0 NVIDIA GB10,dgx,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_hc_seed1
hc,2,15000,completed,0.125,3.8799800872802734,740.982421875,740.982421875,165.85752735599394,178.39470436423252,1.0,1.0,0,16490.59977888805,cuda:0 NVIDIA GB10,dgx,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_hc_seed2
mhc,0,15000,completed,0.109375,4.57741117477417,605.268798828125,1.030686855316162,1.0277737225255659,0.00156456428405305,1.0,1.0,0,8620.452444980852,cuda:0 NVIDIA GB10,gx10-e313,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_mhc_seed0
mhc,1,15000,completed,0.0625,4.626067161560059,37.2022705078125,1.0300319194793701,1.0284720659255981,0.0008770344637793328,1.0,1.0,0,8618.63535225601,cuda:0 NVIDIA GB10,gx10-e313,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_mhc_seed1
mhc,2,15000,completed,0.046875,4.693682670593262,415.68548583984375,1.0308250188827515,1.0293430782133532,0.0007113221931096434,1.0,1.0,0,8596.726288253907,cuda:0 NVIDIA GB10,gx10-e313,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_mhc_seed2
harm,0,15000,completed,0.046875,4.640178680419922,653.6419067382812,12.40385913848877,9.541390891998045,3.4590891028718413,0.3300171739369831,0.7829981061475447,0,7841.992619993864,cuda:0 NVIDIA GB10,gx10-e313,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_harm_seed0
harm,1,15000,completed,0.125,4.44406270980835,12985592.0,12.660486221313477,11.435238745904737,2.003211662532294,0.10553459950528461,0.26344383117467546,0,16713.080313137965,cuda:0 NVIDIA GB10,dgx,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_harm_seed1
harm,2,15000,completed,0.046875,4.731197357177734,123775856.0,12.391329765319824,11.688772947557512,1.8747516770030488,0.10711969253616525,0.24238459682806113,0,7859.223748262972,cuda:0 NVIDIA GB10,gx10-e313,71be6567d492762cd995ca8927cb27e637cf6645,,,runs/pub15k_harm_seed2
