mode,n,final_accuracy_mean,final_accuracy_std,final_accuracy_min,final_accuracy_max,final_loss_mean,final_loss_std,final_loss_min,final_loss_max,max_raw_gain_mean,max_raw_gain_std,max_raw_gain_min,max_raw_gain_max,max_applied_gain_mean,max_applied_gain_std,max_applied_gain_min,max_applied_gain_max,mean_applied_gain_mean,mean_applied_gain_std,mean_applied_gain_min,mean_applied_gain_max,min_scale_mean,min_scale_std,min_scale_min,min_scale_max,mean_scale_mean,mean_scale_std,mean_scale_min,mean_scale_max,floor_hits_mean,floor_hits_std,floor_hits_min,floor_hits_max,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max
hc,3,0.109375,0.02209708691207961,0.078125,0.125,4.262187957763672,0.3051399368844833,3.8799800872802734,4.626795291900635,1522.843241373698,1609.1979116396124,62.88275146484375,3764.66455078125,1522.843241373698,1609.1979116396124,62.88275146484375,3764.66455078125,411.2926464401266,455.1091021143907,18.735867419550495,1049.2845445448352,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16122.117889873372,648.3116098987275,15210.809040424996,16664.944850307074
mhc,3,0.07291666666666667,0.02655739329996242,0.046875,0.109375,4.632387002309163,0.0476775312232978,4.57741117477417,4.693682670593262,352.71885172526044,236.14754273301676,37.2022705078125,605.268798828125,1.0305145978927612,0.00034593460928186476,1.0300319194793701,1.0308250188827515,1.028529622221506,0.0006419781222111343,1.0277737225255659,1.0293430782133532,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8611.938028496923,10.781874834134348,8596.726288253907,8620.452444980852
harm,3,0.07291666666666667,0.03682847818679935,0.046875,0.125,4.605146249135335,0.11981104529290332,4.44406270980835,4.731197357177734,45587367.21396891,55541167.85486451,653.6419067382812,123775856.0,12.485225041707357,0.12403388543914953,12.391329765319824,12.660486221313477,10.888467528486764,0.9581341229293002,9.541390891998045,11.688772947557512,0.18089048865947766,0.10545047597923636,0.10553459950528461,0.3300171739369831,0.4296088447167605,0.250031798522725,0.24238459682806113,0.7829981061475447,0.0,0.0,0.0,0.0,10804.765560464934,4177.815349393005,7841.992619993864,16713.080313137965
res_scale,3,0.041666666666666664,0.01948779888944761,0.015625,0.0625,4.663268566131592,0.020350160369719702,4.6480393409729,4.692031383514404,1304298.2906901042,1637646.7685005409,6019.4345703125,3614366.5,26.581963857014973,13.860485189652437,9.306507110595703,43.240821838378906,10.865611213509753,5.706383735336502,4.418943039832577,18.293059368287363,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10934.887945711302,4419.777465520127,7797.710899889935,17185.381999969017
