step,loss,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782888412475586,0.0,1.509186029434204,1.392043113708496,1.509186029434204,1.509186029434204,1.392043113708496,1.509186029434204,1.0,0,0.24890917702578008
200,4.92437744140625,0.03125,1.780390977859497,1.877123475074768,1.877123475074768,1.780390977859497,1.877123475074768,1.877123475074768,1.0,0,46.40468157804571
400,4.859631061553955,0.015625,4.853597640991211,5.394256114959717,5.394256114959717,4.853597640991211,5.394256114959717,5.394256114959717,1.0,0,92.55832732492127
600,4.9158711433410645,0.03125,6.142679214477539,8.095748901367188,8.095748901367188,6.142679214477539,8.095748901367188,8.095748901367188,1.0,0,138.59948791493662
800,4.837684631347656,0.015625,6.486993789672852,8.349786758422852,8.349786758422852,6.486993789672852,8.349786758422852,8.349786758422852,1.0,0,184.76255763787776
1000,4.788708209991455,0.0625,6.474949836730957,7.247157096862793,7.247157096862793,6.474949836730957,7.247157096862793,7.247157096862793,1.0,0,230.8966527651064
1199,4.75952672958374,0.046875,6.528530120849609,9.626858711242676,9.626858711242676,6.528530120849609,9.626858711242676,9.626858711242676,1.0,0,277.81730237207375
