step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.7007622718811035,0.0,1.470405101776123,1.1166642904281616,1.0,res_scale,1,0.0,1.3630698919296265,1.470405101776123,1.470405101776123,1.0905967950820923,1.1166642904281616,1.1166642904281616,1.0,0,2.201906992937438
500,4.9301958084106445,0.0,4.0462164878845215,2.0137948989868164,1.0,res_scale,1,0.0,3.642380952835083,4.0462164878845215,4.0462164878845215,1.8539323806762695,2.0137948989868164,2.0137948989868164,1.0,0,543.019369089976
1000,4.889924049377441,0.015625,2.8948416709899902,1.6083984375,1.0,res_scale,1,0.015625,2.7259039878845215,2.8948416709899902,2.8948416709899902,1.4792475700378418,1.6083984375,1.6083984375,1.0,0,1115.903445946984
1500,4.875138759613037,0.0,2.9968831539154053,1.4826273918151855,1.0,res_scale,1,0.0,2.9968831539154053,2.6950740814208984,2.9968831539154053,1.4383199214935303,1.4826273918151855,1.4826273918151855,1.0,0,1689.825165851973
2000,4.876550197601318,0.0,5.999248027801514,1.4740879535675049,1.0,res_scale,1,0.0,5.999248027801514,3.916433334350586,5.999248027801514,1.4740879535675049,1.4517455101013184,1.4740879535675049,1.0,0,2265.6807416089578
2500,4.840763092041016,0.015625,57.54134750366211,2.682473659515381,1.0,res_scale,1,0.015625,57.54134750366211,27.52068328857422,57.54134750366211,2.682473659515381,2.527090549468994,2.682473659515381,1.0,0,2841.6190423369408
3000,4.833534240722656,0.015625,515.46337890625,5.183402061462402,1.0,res_scale,1,0.015625,515.46337890625,323.6556396484375,515.46337890625,5.086534023284912,5.183402061462402,5.183402061462402,1.0,0,3415.0839894589735
3500,4.821715354919434,0.03125,308.92572021484375,5.193828582763672,1.0,res_scale,1,0.03125,308.92572021484375,155.77944946289062,308.92572021484375,4.86267614364624,5.193828582763672,5.193828582763672,1.0,0,3989.0832674519625
4000,4.847585678100586,0.03125,998.54052734375,6.8580827713012695,1.0,res_scale,1,0.03125,998.54052734375,498.62567138671875,998.54052734375,6.8580827713012695,6.857861518859863,6.8580827713012695,1.0,0,4563.373052094947
4500,4.814231872558594,0.015625,1513.52783203125,8.389345169067383,1.0,res_scale,1,0.015625,1513.52783203125,830.7344360351562,1513.52783203125,8.0440034866333,8.389345169067383,8.389345169067383,1.0,0,5137.210947779939
