step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.700864791870117,0.0,1.470405101776123,1.029987096786499,1.0,mhc,1,0.0,1.3630698919296265,1.470405101776123,1.470405101776123,1.0297472476959229,1.029987096786499,1.029987096786499,1.0,0,1.187796649057418
500,4.918011665344238,0.0,1.4494495391845703,1.029144048690796,1.0,mhc,1,0.0,1.4004427194595337,1.4494495391845703,1.4494495391845703,1.0289654731750488,1.029144048690796,1.029144048690796,1.0,0,288.0708283151034
1000,4.904574871063232,0.0,1.788500189781189,1.028203010559082,1.0,mhc,1,0.0,1.788500189781189,1.6547496318817139,1.788500189781189,1.0281562805175781,1.028203010559082,1.028203010559082,1.0,0,575.0629313609097
1500,4.849849700927734,0.0,3.3958849906921387,1.0288944244384766,1.0,mhc,1,0.0,2.7112326622009277,3.3958849906921387,3.3958849906921387,1.0288944244384766,1.0288677215576172,1.0288944244384766,1.0,0,862.070116838906
2000,4.873167991638184,0.0,3.1008460521698,1.028733491897583,1.0,mhc,1,0.0,2.822896957397461,3.1008460521698,3.1008460521698,1.028733491897583,1.0285124778747559,1.028733491897583,1.0,0,1149.0693053801078
2500,4.782693862915039,0.015625,3.376528263092041,1.0287399291992188,1.0,mhc,1,0.015625,2.8736138343811035,3.376528263092041,3.376528263092041,1.0282061100006104,1.0287399291992188,1.0287399291992188,1.0,0,1436.0479887470137
3000,4.727951526641846,0.078125,2.648653984069824,1.0287317037582397,1.0,mhc,1,0.078125,2.174924850463867,2.648653984069824,2.648653984069824,1.0285922288894653,1.0287317037582397,1.0287317037582397,1.0,0,1723.0690243639983
3500,4.8203535079956055,0.046875,3.3210153579711914,1.0290495157241821,1.0,mhc,1,0.046875,2.6528165340423584,3.3210153579711914,3.3210153579711914,1.0289103984832764,1.0290495157241821,1.0290495157241821,1.0,0,2010.152073967969
4000,4.747496128082275,0.015625,3.310577154159546,1.0289678573608398,1.0,mhc,1,0.015625,3.2792868614196777,3.310577154159546,3.310577154159546,1.0287755727767944,1.0289678573608398,1.0289678573608398,1.0,0,2297.479668237036
4500,4.745244979858398,0.046875,3.715588092803955,1.0277665853500366,1.0,mhc,1,0.046875,3.595933437347412,3.715588092803955,3.715588092803955,1.0273902416229248,1.0277665853500366,1.0277665853500366,1.0,0,2584.833479226101
5000,4.793093681335449,0.015625,3.6585378646850586,1.0293322801589966,1.0,mhc,1,0.015625,3.6472668647766113,3.6585378646850586,3.6585378646850586,1.0292422771453857,1.0293322801589966,1.0293322801589966,1.0,0,2872.169476114912
5500,4.701160907745361,0.0625,4.215078353881836,1.0284627676010132,1.0,mhc,1,0.0625,4.023992538452148,4.215078353881836,4.215078353881836,1.0282318592071533,1.0284627676010132,1.0284627676010132,1.0,0,3159.556064921897
6000,4.842365741729736,0.03125,4.058632850646973,1.0294002294540405,1.0,mhc,1,0.03125,4.058632850646973,3.983614921569824,4.058632850646973,1.0294002294540405,1.0291190147399902,1.0294002294540405,1.0,0,3446.8817562190816
6500,4.7680253982543945,0.015625,8.001680374145508,1.0300319194793701,1.0,mhc,1,0.015625,8.001680374145508,7.7077412605285645,8.001680374145508,1.0296381711959839,1.0300319194793701,1.0300319194793701,1.0,0,3734.1770824659616
7000,4.692090034484863,0.046875,7.2318010330200195,1.0277936458587646,1.0,mhc,1,0.046875,7.2318010330200195,6.787065029144287,7.2318010330200195,1.0275022983551025,1.0277936458587646,1.0277936458587646,1.0,0,4021.4792522669304
7500,4.743601322174072,0.0625,7.643568992614746,1.0289428234100342,1.0,mhc,1,0.0625,7.643568992614746,7.152155876159668,7.643568992614746,1.0289428234100342,1.028425931930542,1.0289428234100342,1.0,0,4308.783548338106
8000,4.654144287109375,0.078125,8.849777221679688,1.029374122619629,1.0,mhc,1,0.078125,8.849777221679688,8.379167556762695,8.849777221679688,1.0292506217956543,1.029374122619629,1.029374122619629,1.0,0,4596.182430644054
8500,4.6582112312316895,0.078125,8.679162979125977,1.0286874771118164,1.0,mhc,1,0.078125,8.679162979125977,8.036577224731445,8.679162979125977,1.0286874771118164,1.0281975269317627,1.0286874771118164,1.0,0,4883.530657972908
9000,4.703802108764648,0.03125,13.198249816894531,1.0294522047042847,1.0,mhc,1,0.03125,13.198249816894531,11.64023494720459,13.198249816894531,1.0288853645324707,1.0294522047042847,1.0294522047042847,1.0,0,5170.892460562987
9500,4.66396427154541,0.078125,15.813274383544922,1.0289480686187744,1.0,mhc,1,0.078125,15.813274383544922,13.539023399353027,15.813274383544922,1.0289480686187744,1.0285204648971558,1.0289480686187744,1.0,0,5458.23656539293
10000,4.585699081420898,0.125,12.320988655090332,1.0286426544189453,1.0,mhc,1,0.125,12.320988655090332,11.209062576293945,12.320988655090332,1.0285091400146484,1.0286426544189453,1.0286426544189453,1.0,0,5745.552342978073
10500,4.70644474029541,0.046875,15.553722381591797,1.0285344123840332,1.0,mhc,1,0.046875,15.553722381591797,11.691210746765137,15.553722381591797,1.0285344123840332,1.0283801555633545,1.0285344123840332,1.0,0,6032.92153523094
11000,4.705708026885986,0.078125,18.486618041992188,1.027395486831665,1.0,mhc,1,0.078125,18.486618041992188,14.571229934692383,18.486618041992188,1.027395486831665,1.0268911123275757,1.027395486831665,1.0,0,6320.261032914976
11500,4.750269889831543,0.046875,13.652190208435059,1.0287736654281616,1.0,mhc,1,0.046875,13.652190208435059,12.604837417602539,13.652190208435059,1.0287736654281616,1.02848219871521,1.0287736654281616,1.0,0,6607.590385613963
12000,4.725265979766846,0.046875,30.806568145751953,1.0273452997207642,1.0,mhc,1,0.046875,30.806568145751953,26.678115844726562,30.806568145751953,1.026545524597168,1.0273452997207642,1.0273452997207642,1.0,0,6894.915007326985
12500,4.652608871459961,0.03125,29.407649993896484,1.0265986919403076,1.0,mhc,1,0.03125,29.407649993896484,26.81052017211914,29.407649993896484,1.0265986919403076,1.0263900756835938,1.0265986919403076,1.0,0,7182.275456160074
