step,loss,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.7298665046691895,0.0,1.4437581300735474,1.3548599481582642,1.4437581300735474,1.4437581300735474,1.3548599481582642,1.4437581300735474,1.0,0,0.34455014509148896
100,4.900792598724365,0.0,1.7417454719543457,2.280860424041748,2.280860424041748,1.7417454719543457,2.280860424041748,2.280860424041748,1.0,0,23.34371656109579
200,4.905325889587402,0.0,1.754329800605774,1.9301867485046387,1.9301867485046387,1.754329800605774,1.9301867485046387,1.9301867485046387,1.0,0,46.343154384056106
300,4.835461616516113,0.0,2.2349491119384766,2.9760398864746094,2.9760398864746094,2.2349491119384766,2.9760398864746094,2.9760398864746094,1.0,0,69.4589097679127
400,4.881312370300293,0.0,2.8301448822021484,2.97463059425354,2.97463059425354,2.8301448822021484,2.97463059425354,2.97463059425354,1.0,0,92.47483965312131
500,4.856603622436523,0.015625,2.9651923179626465,4.414087295532227,4.414087295532227,2.9651923179626465,4.414087295532227,4.414087295532227,1.0,0,115.51742951199412
600,4.8781890869140625,0.0,3.6178512573242188,5.52763557434082,5.52763557434082,3.6178512573242188,5.52763557434082,5.52763557434082,1.0,0,138.61783729307353
700,4.861134052276611,0.015625,4.165609359741211,6.096675872802734,6.096675872802734,4.165609359741211,6.096675872802734,6.096675872802734,1.0,0,161.63691955409013
800,4.836400032043457,0.015625,3.541898250579834,3.772614002227783,3.772614002227783,3.541898250579834,3.772614002227783,3.772614002227783,1.0,0,184.64224055805244
900,4.840487480163574,0.0,3.0862767696380615,3.3439812660217285,3.3439812660217285,3.0862767696380615,3.3439812660217285,3.3439812660217285,1.0,0,207.7759624910541
1000,4.898816108703613,0.0,3.2302093505859375,3.4005093574523926,3.4005093574523926,3.2302093505859375,3.4005093574523926,3.4005093574523926,1.0,0,230.81409923592582
1100,4.899152755737305,0.0,3.950726270675659,5.2424092292785645,5.2424092292785645,3.950726270675659,5.2424092292785645,5.2424092292785645,1.0,0,253.94076756504364
1200,4.853818416595459,0.03125,5.777063369750977,9.460670471191406,9.460670471191406,5.777063369750977,9.460670471191406,9.460670471191406,1.0,0,276.9617180740461
1300,4.874897003173828,0.0,5.206881046295166,8.541353225708008,8.541353225708008,5.206881046295166,8.541353225708008,8.541353225708008,1.0,0,300.0052604658995
1400,4.882343292236328,0.03125,5.027874946594238,7.289302825927734,7.289302825927734,5.027874946594238,7.289302825927734,7.289302825927734,1.0,0,323.13893493590876
1500,4.854616165161133,0.015625,2.1753106117248535,2.5340023040771484,2.5340023040771484,2.1753106117248535,2.5340023040771484,2.5340023040771484,1.0,0,346.15893416199833
1600,4.841364860534668,0.0,2.4888510704040527,2.7669553756713867,2.7669553756713867,2.4888510704040527,2.7669553756713867,2.7669553756713867,1.0,0,369.1830364309717
1700,4.870889663696289,0.0,4.515591621398926,5.6999359130859375,5.6999359130859375,4.515591621398926,5.6999359130859375,5.6999359130859375,1.0,0,392.30099094007164
1800,4.840709686279297,0.015625,4.743651390075684,6.4140400886535645,6.4140400886535645,4.743651390075684,6.4140400886535645,6.4140400886535645,1.0,0,415.3286067810841
1900,4.838150978088379,0.046875,4.448573112487793,5.516551971435547,5.516551971435547,4.448573112487793,5.516551971435547,5.516551971435547,1.0,0,438.35902139591053
2000,4.797101974487305,0.046875,4.968984603881836,6.737084865570068,6.737084865570068,4.968984603881836,6.737084865570068,6.737084865570068,1.0,0,461.4779378050007
2100,4.733787536621094,0.046875,6.139748573303223,8.955808639526367,8.955808639526367,6.139748573303223,8.955808639526367,8.955808639526367,1.0,0,484.49572708504274
2200,4.87340784072876,0.03125,5.314427375793457,7.867842674255371,7.867842674255371,5.314427375793457,7.867842674255371,7.867842674255371,1.0,0,507.6323144750204
2300,4.741100311279297,0.0625,6.118254661560059,9.11346435546875,9.11346435546875,6.118254661560059,9.11346435546875,9.11346435546875,1.0,0,530.6561477179639
2400,4.774715423583984,0.03125,7.267186641693115,10.957298278808594,10.957298278808594,7.267186641693115,10.957298278808594,10.957298278808594,1.0,0,553.6706346059218
2500,4.762802600860596,0.0625,8.550506591796875,11.773944854736328,11.773944854736328,8.550506591796875,11.773944854736328,11.773944854736328,1.0,0,576.7868100081105
2600,4.708263874053955,0.0625,8.423959732055664,11.328128814697266,11.328128814697266,8.134529113769531,10.984160423278809,10.984160423278809,0.9828392071459916,0,599.8253776659258
2700,4.782839775085449,0.0625,10.315516471862793,14.045921325683594,14.045921325683594,9.050939559936523,12.46465015411377,12.46465015411377,0.9402695968830109,0,622.8511817709077
2800,4.798229217529297,0.015625,12.632675170898438,14.06268310546875,14.06268310546875,9.58683967590332,11.172948837280273,11.172948837280273,0.8850050378593616,0,645.9772723910864
2900,4.844951629638672,0.015625,13.158281326293945,15.998828887939453,15.998828887939453,7.138861656188965,9.369964599609375,9.369964599609375,0.7475284445590914,0,668.9817705349997
2999,4.820583343505859,0.03125,17.404539108276367,20.582305908203125,20.582305908203125,9.234333038330078,11.917200088500977,11.917200088500977,0.7660778501970179,0,691.7909758079331
