run_name,mode,seed,gain_target,min_scale,harm_k,final_loss,final_acc,max_gain_raw_max,max_gain_applied_max,harm_scale_mean,harm_scale_min,floor_hits,time_sec,score
gt3.0_ms0.02_k0.5_s0,harm,0,3.0,0.02,0.5,4.795478820800781,0.03125,43.31685256958008,3.1479296684265137,0.651754477901778,0.19574549387253126,0,276.2526047921274,0.03125
gt3.0_ms0.02_k1.0_s0,harm,0,3.0,0.02,1.0,4.870523452758789,0.0,42.33510208129883,3.110403537750244,0.5058382666105855,0.25314227393839966,0,276.488680328941,0.0
gt3.0_ms0.05_k0.5_s0,harm,0,3.0,0.05,0.5,4.795478820800781,0.03125,43.31685256958008,3.1479296684265137,0.651754477901778,0.19574549387253126,0,276.56640329700895,0.03125
gt3.0_ms0.05_k1.0_s0,harm,0,3.0,0.05,1.0,4.870523452758789,0.0,42.33510208129883,3.110403537750244,0.5058382666105855,0.25314227393839966,0,276.73877669195645,0.0
gt3.0_ms0.1_k0.5_s0,harm,0,3.0,0.1,0.5,4.795478820800781,0.03125,43.31685256958008,3.1479296684265137,0.651754477901778,0.19574549387253126,0,276.5924081299454,0.03125
gt3.0_ms0.1_k1.0_s0,harm,0,3.0,0.1,1.0,4.870523452758789,0.0,42.33510208129883,3.110403537750244,0.5058382666105855,0.25314227393839966,0,276.69037164212205,0.0
gt5.0_ms0.02_k0.5_s0,harm,0,5.0,0.02,0.5,4.847080707550049,0.0,43.42168426513672,5.1166791915893555,0.5798491320941437,0.3354861312461054,0,276.6004134931136,0.0
gt5.0_ms0.02_k1.0_s0,harm,0,5.0,0.02,1.0,4.849542617797852,0.015625,147.79385375976562,5.054339408874512,0.6248049284548415,0.32384941280484086,0,276.81675879796967,0.015625
gt5.0_ms0.05_k0.5_s0,harm,0,5.0,0.05,0.5,4.847080707550049,0.0,43.42168426513672,5.1166791915893555,0.5798491320941437,0.3354861312461054,0,276.72765448712744,0.0
gt5.0_ms0.05_k1.0_s0,harm,0,5.0,0.05,1.0,4.849542617797852,0.015625,147.79385375976562,5.054339408874512,0.6248049284548415,0.32384941280484086,0,276.7884613298811,0.015625
gt5.0_ms0.1_k0.5_s0,harm,0,5.0,0.1,0.5,4.847080707550049,0.0,43.42168426513672,5.1166791915893555,0.5798491320941437,0.3354861312461054,0,276.79903358593583,0.0
gt5.0_ms0.1_k1.0_s0,harm,0,5.0,0.1,1.0,4.849542617797852,0.015625,147.79385375976562,5.054339408874512,0.6248049284548415,0.32384941280484086,0,276.7608000340406,0.015625
gt8.0_ms0.02_k0.5_s0,harm,0,8.0,0.02,0.5,4.793057441711426,0.015625,12.934320449829102,9.4684476852417,0.9641694553867025,0.7491861877069173,0,276.9012448559515,0.015625
gt8.0_ms0.02_k1.0_s0,harm,0,8.0,0.02,1.0,4.884937763214111,0.0,6.694873332977295,6.694873332977295,1.0,1.0,0,276.76997570390813,0.0
gt8.0_ms0.05_k0.5_s0,harm,0,8.0,0.05,0.5,4.793057441711426,0.015625,12.934320449829102,9.4684476852417,0.9641694553867025,0.7491861877069173,0,276.8316679841373,0.015625
gt8.0_ms0.05_k1.0_s0,harm,0,8.0,0.05,1.0,4.884937763214111,0.0,6.694873332977295,6.694873332977295,1.0,1.0,0,276.71953098499216,0.0
gt8.0_ms0.1_k0.5_s0,harm,0,8.0,0.1,0.5,4.793057441711426,0.015625,12.934320449829102,9.4684476852417,0.9641694553867025,0.7491861877069173,0,279.3334169858135,0.015625
gt8.0_ms0.1_k1.0_s0,harm,0,8.0,0.1,1.0,4.884937763214111,0.0,6.694873332977295,6.694873332977295,1.0,1.0,0,276.58986341697164,0.0
gt12.0_ms0.02_k0.5_s0,harm,0,12.0,0.02,0.5,4.75952672958374,0.046875,9.626858711242676,9.626858711242676,1.0,1.0,0,277.166514050914,0.046875
gt12.0_ms0.02_k1.0_s0,harm,0,12.0,0.02,1.0,4.75952672958374,0.046875,9.626858711242676,9.626858711242676,1.0,1.0,0,276.6891341980081,0.046875
gt12.0_ms0.05_k0.5_s0,harm,0,12.0,0.05,0.5,4.75952672958374,0.046875,9.626858711242676,9.626858711242676,1.0,1.0,0,276.86659133597277,0.046875
gt12.0_ms0.05_k1.0_s0,harm,0,12.0,0.05,1.0,4.75952672958374,0.046875,9.626858711242676,9.626858711242676,1.0,1.0,0,276.711567746941,0.046875
gt12.0_ms0.1_k0.5_s0,harm,0,12.0,0.1,0.5,4.75952672958374,0.046875,9.626858711242676,9.626858711242676,1.0,1.0,0,276.8599022021517,0.046875
gt12.0_ms0.1_k1.0_s0,harm,0,12.0,0.1,1.0,4.75952672958374,0.046875,9.626858711242676,9.626858711242676,1.0,1.0,0,277.81745127309114,0.046875
gt12.0_ms0.02_k0.5_s0,harm,0,12.0,0.02,0.5,4.697174072265625,0.046875,49.18357467651367,13.014923095703125,0.8802992545596627,0.542985009604042,0,715.2172456581611,0.046875
gt12.0_ms0.02_k0.5_s1,harm,1,12.0,0.02,0.5,4.76951789855957,0.046875,59.73622131347656,13.43255615234375,0.9487357908149486,0.610057652325839,0,692.0660011349246,0.046875
gt12.0_ms0.02_k1.0_s0,harm,0,12.0,0.02,1.0,4.840646743774414,0.0,23.771772384643555,12.428535461425781,0.9355214735302925,0.6933010691555447,0,691.5203199868556,0.0
gt12.0_ms0.02_k1.0_s1,harm,1,12.0,0.02,1.0,4.751718521118164,0.0625,84.0424575805664,12.871112823486328,0.9267838582084453,0.5415276351339745,0,691.6104762398172,0.0625
gt12.0_ms0.05_k0.5_s0,harm,0,12.0,0.05,0.5,4.697174072265625,0.046875,49.18357467651367,13.014923095703125,0.8802992545596627,0.542985009604042,0,691.561105846893,0.046875
gt12.0_ms0.05_k0.5_s1,harm,1,12.0,0.05,0.5,4.76951789855957,0.046875,59.73622131347656,13.43255615234375,0.9487357908149486,0.610057652325839,0,691.5777997539844,0.046875
gt12.0_ms0.05_k1.0_s0,harm,0,12.0,0.05,1.0,4.840646743774414,0.0,23.771772384643555,12.428535461425781,0.9355214735302925,0.6933010691555447,0,691.7265217821114,0.0
gt12.0_ms0.05_k1.0_s1,harm,1,12.0,0.05,1.0,4.751718521118164,0.0625,84.0424575805664,12.871112823486328,0.9267838582084453,0.5415276351339745,0,691.4368795061018,0.0625
gt12.0_ms0.1_k0.5_s0,harm,0,12.0,0.1,0.5,4.697174072265625,0.046875,49.18357467651367,13.014923095703125,0.8802992545596627,0.542985009604042,0,691.5214348388836,0.046875
gt12.0_ms0.1_k0.5_s1,harm,1,12.0,0.1,0.5,4.76951789855957,0.046875,59.73622131347656,13.43255615234375,0.9487357908149486,0.610057652325839,0,691.5884857410565,0.046875
gt12.0_ms0.1_k1.0_s0,harm,0,12.0,0.1,1.0,4.840646743774414,0.0,23.771772384643555,12.428535461425781,0.9355214735302925,0.6933010691555447,0,691.5373155430425,0.0
gt12.0_ms0.1_k1.0_s1,harm,1,12.0,0.1,1.0,4.751718521118164,0.0625,84.0424575805664,12.871112823486328,0.9267838582084453,0.5415276351339745,0,691.2322089469526,0.0625
gt12.0_ms0.02_k0.5_s0,harm,0,12.0,0.02,0.5,4.697174072265625,0.046875,49.18357467651367,13.014923095703125,0.8802992545596627,0.542985009604042,0,691.6592696320731,0.046875
gt12.0_ms0.02_k0.5_s1,harm,1,12.0,0.02,0.5,4.76951789855957,0.046875,59.73622131347656,13.43255615234375,0.9487357908149486,0.610057652325839,0,691.5203655469231,0.046875
gt12.0_ms0.02_k0.5_s2,harm,2,12.0,0.02,0.5,4.820583343505859,0.03125,20.582305908203125,12.46465015411377,0.9781200044078863,0.7475284445590914,0,691.7911198700313,0.03125
