step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.729498863220215,0.0,1.443758249282837,1.0293160676956177,1.0,mhc,2,0.0,1.443758249282837,1.3548599481582642,1.443758249282837,1.0291130542755127,1.0293160676956177,1.0293160676956177,1.0,0,1.1922313089016825
500,4.878225326538086,0.015625,1.4395596981048584,1.0308250188827515,1.0,mhc,2,0.015625,1.4395596981048584,1.4131951332092285,1.4395596981048584,1.030807375907898,1.0308250188827515,1.0308250188827515,1.0,0,287.02306472486816
1000,4.898886680603027,0.0,1.6075178384780884,1.030263900756836,1.0,mhc,2,0.0,1.6075178384780884,1.5534470081329346,1.6075178384780884,1.0301072597503662,1.030263900756836,1.030263900756836,1.0,0,572.947026199894
1500,4.865877151489258,0.0,1.7636553049087524,1.0293972492218018,1.0,mhc,2,0.0,1.6838821172714233,1.7636553049087524,1.7636553049087524,1.0290775299072266,1.0293972492218018,1.0293972492218018,1.0,0,858.7029392689001
2000,4.832594871520996,0.0,1.9662655591964722,1.0293469429016113,1.0,mhc,2,0.0,1.790806531906128,1.9662655591964722,1.9662655591964722,1.0293469429016113,1.0290296077728271,1.0293469429016113,1.0,0,1145.1788973070215
2500,4.803712844848633,0.015625,2.019822597503662,1.0296926498413086,1.0,mhc,2,0.015625,1.8347151279449463,2.019822597503662,2.019822597503662,1.0296926498413086,1.0296574831008911,1.0296926498413086,1.0,0,1431.7529561559204
3000,4.864621639251709,0.0,2.018739700317383,1.0300991535186768,1.0,mhc,2,0.0,1.9072564840316772,2.018739700317383,2.018739700317383,1.0297294855117798,1.0300991535186768,1.0300991535186768,1.0,0,1718.4817474319134
3500,4.857676982879639,0.0,2.132244825363159,1.0291199684143066,1.0,mhc,2,0.0,2.0117053985595703,2.132244825363159,2.132244825363159,1.028944730758667,1.0291199684143066,1.0291199684143066,1.0,0,2005.3546592430212
4000,4.863010406494141,0.015625,2.2867660522460938,1.0297869443893433,1.0,mhc,2,0.015625,2.2867660522460938,2.2085886001586914,2.2867660522460938,1.0297869443893433,1.029634714126587,1.0297869443893433,1.0,0,2292.208573868964
4500,4.860831260681152,0.015625,2.5629513263702393,1.0296857357025146,1.0,mhc,2,0.015625,2.5629513263702393,2.4362592697143555,2.5629513263702393,1.0296857357025146,1.0295219421386719,1.0296857357025146,1.0,0,2579.0274541389663
