step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,3.3813018798828125,0.0,1.0078353881835938,1.0019632577896118,1.0,res_scale,0,0.0,1.0076336860656738,1.0078353881835938,1.0078353881835938,1.0019071102142334,1.0019632577896118,1.0019632577896118,1.0,0,0.0162337051006034
1,3.3065025806427,0.25,1.0084357261657715,1.0021133422851562,1.0,res_scale,0,0.25,1.0078356266021729,1.0084357261657715,1.0084357261657715,1.0019571781158447,1.0021133422851562,1.0021133422851562,1.0,0,0.05567389202769846
2,3.6995062828063965,0.0,1.0089949369430542,1.0022528171539307,1.0,res_scale,0,0.0,1.0080236196517944,1.0089949369430542,1.0089949369430542,1.0020039081573486,1.0022528171539307,1.0022528171539307,1.0,0,0.08279978903010488
3,4.016358375549316,0.0,1.0092681646347046,1.0023212432861328,1.0,res_scale,0,0.0,1.0081161260604858,1.0092681646347046,1.0092681646347046,1.0020265579223633,1.0023212432861328,1.0023212432861328,1.0,0,0.1452751640463248
