step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782888889312744,0.0,1.509186029434204,1.509186029434204,1.0,harm,0,0.0,1.509186029434204,1.3920432329177856,1.509186029434204,1.509186029434204,1.3920432329177856,1.509186029434204,1.0,0,1.140415778849274
500,4.81078577041626,0.015625,1.8486462831497192,1.8486462831497192,1.0,harm,0,0.015625,1.700319528579712,1.8486462831497192,1.8486462831497192,1.700319528579712,1.8486462831497192,1.8486462831497192,1.0,0,263.4437521218788
1000,4.874069690704346,0.015625,2.0734872817993164,2.0734872817993164,1.0,harm,0,0.015625,1.8589264154434204,2.0734872817993164,2.0734872817993164,1.8589264154434204,2.0734872817993164,2.0734872817993164,1.0,0,525.5515605809633
1500,4.852361679077148,0.03125,4.689643859863281,4.689643859863281,1.0,harm,0,0.03125,4.47725772857666,4.689643859863281,4.689643859863281,4.47725772857666,4.689643859863281,4.689643859863281,1.0,0,786.7610287189018
2000,4.906354904174805,0.0,2.837045669555664,2.837045669555664,1.0,harm,0,0.0,2.144313097000122,2.837045669555664,2.837045669555664,2.144313097000122,2.837045669555664,2.837045669555664,1.0,0,1047.882416288834
2500,4.877111911773682,0.0,5.4513139724731445,5.4513139724731445,1.0,harm,0,0.0,2.8283896446228027,5.4513139724731445,5.4513139724731445,2.8283896446228027,5.4513139724731445,5.4513139724731445,1.0,0,1309.0806654689368
3000,4.850469589233398,0.0,8.229860305786133,8.229860305786133,1.0,harm,0,0.0,4.30400276184082,8.229860305786133,8.229860305786133,4.30400276184082,8.229860305786133,8.229860305786133,1.0,0,1570.2388723788317
3500,4.799656867980957,0.03125,9.017247200012207,9.017247200012207,1.0,harm,0,0.03125,4.580991744995117,9.017247200012207,9.017247200012207,4.580991744995117,9.017247200012207,9.017247200012207,1.0,0,1831.4017226397991
4000,4.794854164123535,0.015625,8.868427276611328,8.868427276611328,1.0,harm,0,0.015625,4.350822448730469,8.868427276611328,8.868427276611328,4.350822448730469,8.868427276611328,8.868427276611328,1.0,0,2092.518652319908
4500,4.752418518066406,0.0625,8.643623352050781,8.643623352050781,1.0,harm,0,0.0625,4.001323223114014,8.643623352050781,8.643623352050781,4.001323223114014,8.643623352050781,8.643623352050781,1.0,0,2353.7495110088494
5000,4.791058540344238,0.03125,9.379191398620605,9.379191398620605,1.0,harm,0,0.03125,4.347195625305176,9.379191398620605,9.379191398620605,4.347195625305176,9.379191398620605,9.379191398620605,1.0,0,2614.927298132796
5500,4.683440208435059,0.0625,10.35365104675293,10.35365104675293,1.0,harm,0,0.0625,4.851110458374023,10.35365104675293,10.35365104675293,4.851110458374023,10.35365104675293,10.35365104675293,1.0,0,2876.069238440832
6000,4.812170505523682,0.015625,9.130128860473633,9.130128860473633,1.0,harm,0,0.015625,4.025574684143066,9.130128860473633,9.130128860473633,4.025574684143066,9.130128860473633,9.130128860473633,1.0,0,3137.251716326922
6500,4.766322135925293,0.078125,10.62618350982666,10.62618350982666,1.0,harm,0,0.078125,5.197450160980225,10.62618350982666,10.62618350982666,5.197450160980225,10.62618350982666,10.62618350982666,1.0,0,3398.45982702286
7000,4.700863838195801,0.03125,13.574018478393555,12.212884902954102,0.9284292662231843,harm,0,0.03125,8.559505462646484,13.574018478393555,13.574018478393555,7.57865571975708,12.212884902954102,12.212884902954102,0.9284292662231843,0,3659.5904350178316
7500,4.691056728363037,0.015625,18.794857025146484,11.656024932861328,0.764679140699342,harm,0,0.015625,14.916470527648926,18.794857025146484,18.794857025146484,8.573745727539062,11.656024932861328,11.656024932861328,0.764679140699342,0,3920.7181090579834
8000,4.739124774932861,0.0625,10.653998374938965,10.653998374938965,1.0,harm,0,0.0625,9.685173034667969,10.653998374938965,10.653998374938965,9.685173034667969,10.653998374938965,10.653998374938965,1.0,0,4181.893600450829
8500,4.70363712310791,0.09375,31.190227508544922,11.878618240356445,0.637374205137706,harm,0,0.09375,31.190227508544922,30.938419342041016,31.190227508544922,10.816695213317871,11.878618240356445,11.878618240356445,0.637374205137706,0,4443.018371247919
9000,4.714142799377441,0.015625,59.8233528137207,12.40385913848877,0.5651756016997495,harm,0,0.015625,59.8233528137207,55.12928009033203,59.8233528137207,12.40385913848877,12.343042373657227,12.40385913848877,0.5651756016997495,0,4704.148864552844
9500,4.650739669799805,0.078125,25.473072052001953,11.785146713256836,0.7159039783604251,harm,0,0.078125,25.473072052001953,21.78423309326172,25.473072052001953,11.785146713256836,10.744645118713379,11.785146713256836,0.7159039783604251,0,4965.31492384593
10000,4.668709754943848,0.078125,24.067245483398438,12.066877365112305,0.7500859631937932,harm,0,0.078125,24.067245483398438,15.229358673095703,24.067245483398438,12.066877365112305,8.602683067321777,12.066877365112305,0.7500859631937932,0,5226.446952847997
10500,4.6068267822265625,0.09375,51.843475341796875,12.192953109741211,0.6017084528298542,harm,0,0.09375,51.843475341796875,27.426578521728516,51.843475341796875,12.192953109741211,8.575685501098633,12.192953109741211,0.6017084528298542,0,5487.623470744817
11000,4.7353363037109375,0.0625,74.20999145507812,12.325681686401367,0.5450424767231085,harm,0,0.0625,74.20999145507812,31.99277687072754,74.20999145507812,12.325681686401367,8.116254806518555,12.325681686401367,0.5450424767231085,0,5748.7927994609345
11500,4.608769416809082,0.09375,138.31814575195312,11.78837776184082,0.4407721136973639,harm,0,0.09375,138.31814575195312,88.03071594238281,138.31814575195312,11.78837776184082,9.093074798583984,11.78837776184082,0.4407721136973639,0,6009.926399464952
12000,4.762700080871582,0.03125,653.6419067382812,12.012643814086914,0.3300171739369831,harm,0,0.03125,616.0546264648438,653.6419067382812,653.6419067382812,11.580242156982422,12.012643814086914,12.012643814086914,0.3300171739369831,0,6271.05155100394
12500,4.664141654968262,0.046875,479.36376953125,11.900737762451172,0.3498960760511577,harm,0,0.046875,479.36376953125,422.03564453125,479.36376953125,11.900737762451172,11.69133472442627,11.900737762451172,0.3498960760511577,0,6532.170175926993
13000,4.68951940536499,0.0625,113.20760345458984,12.131682395935059,0.46848517873018486,harm,0,0.0625,100.9848861694336,113.20760345458984,113.20760345458984,11.720479965209961,12.131682395935059,12.131682395935059,0.46848517873018486,0,6793.791522491956
13500,4.654171466827393,0.0625,61.84388732910156,12.025137901306152,0.5453563692241674,harm,0,0.0625,61.84388732910156,47.216590881347656,61.84388732910156,12.025137901306152,10.546578407287598,12.025137901306152,0.5453563692241674,0,7056.10517964093
14000,4.724456787109375,0.046875,57.523284912109375,12.224422454833984,0.5607883770073612,harm,0,0.046875,57.523284912109375,48.181793212890625,57.523284912109375,12.224422454833984,11.519786834716797,12.224422454833984,0.5607883770073612,0,7318.397977434797
14500,4.610473155975342,0.078125,67.9552001953125,12.02808952331543,0.5359023593665159,harm,0,0.078125,67.9552001953125,56.27480697631836,67.9552001953125,12.02808952331543,11.32440185546875,12.02808952331543,0.5359023593665159,0,7580.469397973968
14999,4.640178680419922,0.046875,68.75672149658203,11.838345527648926,0.533324557692988,harm,0,0.046875,68.75672149658203,58.91011428833008,68.75672149658203,11.838345527648926,11.069518089294434,11.838345527648926,0.533324557692988,0,7841.977437709924
