step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782888889312744,0.0,1.509186029434204,1.509186029434204,1.0,harm,0,0.0,1.509186029434204,1.3920432329177856,1.509186029434204,1.509186029434204,1.3920432329177856,1.509186029434204,1.0,0,4.822303985944018
25,4.996338844299316,0.015625,1.6997755765914917,1.6997755765914917,1.0,harm,0,0.015625,1.6997755765914917,1.679244875907898,1.6997755765914917,1.6997755765914917,1.679244875907898,1.6997755765914917,1.0,0,83.80560039891861
50,5.070590972900391,0.0,1.580132246017456,1.580132246017456,1.0,harm,0,0.0,1.5502946376800537,1.580132246017456,1.580132246017456,1.5502946376800537,1.580132246017456,1.580132246017456,1.0,0,181.8734151889803
75,4.913039207458496,0.015625,1.670686960220337,1.670686960220337,1.0,harm,0,0.015625,1.6189684867858887,1.670686960220337,1.670686960220337,1.6189684867858887,1.670686960220337,1.670686960220337,1.0,0,289.270426095929
99,4.903709888458252,0.03125,1.58284592628479,1.58284592628479,1.0,harm,0,0.03125,1.5397133827209473,1.58284592628479,1.58284592628479,1.5397133827209473,1.58284592628479,1.58284592628479,1.0,0,339.0559276819695
